name,party,dim1,dim2
Sólbjørg Jakobsen,Liberal Alliance,-0.2310157284105055,-1.1284776852421765
HP Beck,Liberal Alliance,0.1638024819052067,-1.1327509847060726
Kenneth Skatka Hammer,Liberal Alliance,0.4099939749875271,-1.3826255902947562
Anders Peter Hansen,Liberal Alliance,0.8301393997094755,-1.1641669895383424
Kim Gaarsdahl,Liberal Alliance,0.7706054158590673,-1.0695378734161438
Bo Ritterbusch,Liberal Alliance,1.2303730305190612,-1.3840308908395142
Mark Hellerup,Liberal Alliance,1.2881308191717382,-1.2145787751138724
Kresten Solvang Larsen,Liberal Alliance,0.7437773766284848,-1.396768580424322
Frederik Blicher Pedersen,Liberal Alliance,0.2051470689670994,-1.1830065201197595
Dan Gaardboe Rueskov,Liberal Alliance,0.23734697138244687,-1.0715742318487158
Sara Tvilling,Liberal Alliance,0.8274323289942308,-2.27843835680393
Rikke Olssen,Liberal Alliance,0.6291889584222818,-0.9901307865542626
Peter Larsen,Liberal Alliance,0.7641950550566046,-1.4750437971514287
Lukas Vestergaard,Liberal Alliance,0.7104784944835417,-1.9001994915815215
Steffen W. Frølund,Liberal Alliance,1.5069186408045816,-1.8132435138072223
Christopher Arzrouni,Liberal Alliance,0.9445679248466609,-1.0029327681077191
Chelle Lilly Albøge,Liberal Alliance,0.7064097006143035,-1.3682667033983509
Philip Solberg,Liberal Alliance,0.4896529933079439,-1.4165097605063182
Lars Høyer Holmqvist,Liberal Alliance,0.1550356596432096,-0.9281607663829681
Sten Schmidl Søbjærg,Liberal Alliance,0.9547730445476572,-0.9135477373234997
Robert Mørck,Liberal Alliance,0.47752929608336653,-0.4738879516577439
Steffen Sjørslev,Liberal Alliance,1.5242273265453457,-1.7658530556778071
Kira Danholm,Liberal Alliance,0.5584291597409446,-1.5528818876805766
Steen Tofteng,Liberal Alliance,0.6180528278309041,-1.0249974158635957
Ole Birk Olesen,Liberal Alliance,1.493888806189318,-1.2585021994167571
Mads Strange,Liberal Alliance,0.3138126314564887,-1.2532793542459277
Alexander Ryle,Liberal Alliance,1.3205389251062276,-0.5287984574607429
Merete Riisager,Liberal Alliance,-0.08002912396073386,-0.8631051133403886
Per Nørgaard Andersen,Liberal Alliance,0.928777706375872,-0.9011115042969764
Charlotte Nellemann,Liberal Alliance,0.4501781945505591,-1.2618986470099642
Line Østergaard Olsen,Liberal Alliance,1.0452870969813388,-1.580414355511321
Laura Emilie Fabricius-Lauritzen,Liberal Alliance,1.1335459855234895,-1.28777610744089
Torben Guldbæk,Liberal Alliance,0.9564903899289274,-0.9631554207787347
Freja Brandhøj,Liberal Alliance,0.311868774799804,-1.0573939673928128
Jonas Juhl,Liberal Alliance,1.246858065473529,-1.5095234195386062
Hanne Bjørn,Liberal Alliance,0.9428581729398998,-1.1297743578150408
Jacqueline Kristensen,Liberal Alliance,0.7473690876350847,-0.9323426467570306
Patrizia Venturelli Christensen,Liberal Alliance,0.6716006465671547,-0.9942727000247779
Michael Melchert,Liberal Alliance,0.019429977960307654,-0.9252349588646005
Pernille Vermund,Liberal Alliance,0.909307849758787,-1.760133248653709
Joachim Riis,Liberal Alliance,0.35554147154090354,-0.8101973393272388
Lars-Christian Brask,Liberal Alliance,1.050638988840681,-1.7623181278404676
Mads Brenøe,Liberal Alliance,0.36133834084316757,-1.2341721419365292
Martin Mickey Pedersen,Liberal Alliance,0.8645803133004499,-1.5198792028368822
Frederik Grünfeld,Liberal Alliance,0.6924972636601792,-1.3151870490137496
Michael Rask,Liberal Alliance,0.30130553670754934,-1.0688957094593827
Sandra Skalvig,Liberal Alliance,-0.2497730182734681,-1.3168392538343734
Nicolai Sandager,Liberal Alliance,1.0327615874828913,-1.185137386045287
Henrik B. Dynesen,Liberal Alliance,0.90571781653998,-1.6839056654264497
Julie Memborg,Liberal Alliance,0.7177147015263904,-0.9843039040330258
Steffen Friis,Liberal Alliance,0.338965832924662,-1.016679954874002
Carsten Abildtrup Ranum,Liberal Alliance,0.5047038308903826,-1.3899364748750074
Frederik Max Krag,Liberal Alliance,0.8332562034320453,-1.5467648807542056
Susan H. Møller,Liberal Alliance,0.13005785048566243,-0.9564436208437428
Ulrik Lassen,Liberal Alliance,0.1422284710578805,-1.3990260845761937
Brian Prehn,Liberal Alliance,0.6359097449317475,-1.005957486776582
Nikolaj Brink Olsen,Liberal Alliance,0.158156949513296,-0.9955629111066111
Kasper Schneider,Liberal Alliance,1.2666944825986572,-2.179705344382481
Steffen Larsen,Liberal Alliance,0.9277450751178047,-1.7341148173252505
Kim Alexander Jensen,Liberal Alliance,1.0141608104352322,-1.533927407974454
Helena Artmann Andresen,Liberal Alliance,0.11545250309477861,-1.2393582516950366
Cecilie Liv Hansen,Liberal Alliance,0.3771954758394138,-0.7066485645580519
Christian Jørgensen,Liberal Alliance,0.5946323350930415,-0.573934658232902
Carl Andersen,Liberal Alliance,0.8654724487782739,-1.2430140947359354
Helene Lykke,Liberal Alliance,0.7066778379418703,-1.0712253293766651
John Rasmussen,Liberal Alliance,0.6363489774213938,-0.9482052827418559
Christian Fini Mosegaard,Liberal Alliance,0.1606682927528691,-0.9586699147475584
Troels Simonsen,Liberal Alliance,0.2594937422144995,-1.6259814199193223
Frederik Klakk,Liberal Alliance,0.28954762495858033,-1.5338330209193398
Carsten Bach,Liberal Alliance,0.7006044307457617,-1.38175777753336
Helle Jensen,Liberal Alliance,0.7647019938738155,-0.9381544930608564
Thorbjørn Jacobsen,Liberal Alliance,1.081297728750387,-1.4975695286844501
Svend Stein Olsen,Liberal Alliance,0.9550378034548173,-0.9230819670430882
Steffen Troldtoft,Liberal Alliance,0.9707442502641577,-1.466772684268967
Michael Valbjørn,Liberal Alliance,0.2475926567220026,-0.9238079938458466
Alex Vanopslagh,Liberal Alliance,1.668912198836529,-1.8378861227495082
Jens Meilvang,Liberal Alliance,0.7697418080456115,-0.9584857381643921
Louise Brown,Liberal Alliance,1.2700988090287937,-1.1438034664318226
Chris Hvidberg,Liberal Alliance,0.42713735765009986,-1.0122788105711094
Niels Povlsgaard,Liberal Alliance,1.0526752917872861,-1.081689977577428
Søren Jensen,Liberal Alliance,-0.10970328202979696,-1.395516974975092
Lars Abildskov,Liberal Alliance,0.747235611335787,-0.7931925614467369
Michael Klausen,Liberal Alliance,0.5302672388122089,-0.4738153311243152
Kim Møller-Nielsen,Liberal Alliance,1.3256711180146243,-1.5576630654956138
Steffen Holme Helledie,Radikale Venstre,1.3954039948209205,0.422514953773885
Jacob Robsøe,Radikale Venstre,1.0314465575246885,0.4026680552732327
Susanne Krebs,Radikale Venstre,0.7183117565083343,0.6918679569426713
Dorthe Kerschus,Radikale Venstre,0.733924759023353,0.6084012774665922
Marie Wandel,Radikale Venstre,0.6773564317723728,1.3576169117019727
Pia Elberg,Radikale Venstre,1.0928452505936135,0.6840727448379439
Carsten Bedsted,Radikale Venstre,1.1060127940990532,0.41703746262519675
Michael Portefee P. Lex,Radikale Venstre,0.21446934561085426,0.4741564946356722
Steen Asgeir Petersen,Radikale Venstre,0.9619733022267052,0.6603125302663868
Hanne Roed,Radikale Venstre,1.1589567787025703,0.8221731046699035
Katrine Robsøe,Radikale Venstre,1.5959179723096706,0.6981441420790064
Mathias Sikora,Radikale Venstre,0.9406075404481097,0.8488728112172513
Rune Christiansen,Radikale Venstre,0.4450028788987325,0.44923057495333935
Bjarke Jensen,Radikale Venstre,1.078832708178537,0.9002799477877683
Rikke Christensen,Radikale Venstre,0.7837529554909599,0.7153967507946338
Line Rasmussen,Radikale Venstre,0.6419539775430014,0.5108600729847133
Anne Sophie Callesen,Radikale Venstre,1.071013079299348,0.8885047738433627
Jakob Larsen,Radikale Venstre,1.3943986486114608,0.8252109156777117
Kim Lei-Jensen,Radikale Venstre,1.1095158008556858,0.9078695465421134
Anastasia Milthers,Radikale Venstre,0.4221458201694299,0.5637419517291838
Jan Werner Mathiasen,Radikale Venstre,0.9514550415012898,0.7435139409971319
Magnus Georg Jensen,Radikale Venstre,0.8976359342108267,0.585332619361546
Thomas Markmann,Radikale Venstre,0.7010909641050811,0.46548967207533215
Thomas Rohden,Radikale Venstre,1.3833303656653009,0.530284078119089
Mikkel Senna Odoom,Radikale Venstre,1.0842838945983113,0.4090839605344132
Samira Nawa,Radikale Venstre,1.442459783372085,0.8083345403561903
Helene Langager,Radikale Venstre,0.5270813484969004,0.4380136352806323
Frederik Rosberg,Radikale Venstre,1.201189479578982,0.4479818417910163
Maria Georgi Sloth,Radikale Venstre,1.223292635034161,0.8947949794979054
Emil Moselund,Radikale Venstre,1.1943016156830413,0.5239815027787209
Marianne Mortensen,Radikale Venstre,1.0083613213254485,0.9465983740383196
Anne-Sofie Sadolin,Radikale Venstre,1.1890024139799977,0.3403966952758495
Lars Green Bach,Radikale Venstre,1.3918253396790805,0.5890064764080907
Kashif Ahmad,Radikale Venstre,0.14158932122315981,1.3773040349731853
Ruben Kidde,Radikale Venstre,1.2126461497790284,0.44799256103562224
Christina Falkberg,Radikale Venstre,0.5200079488040174,0.5688473876255835
Brian Køster,Radikale Venstre,1.0977446178348569,0.8030920875699239
Stinus Lindgreen,Radikale Venstre,1.1008529072391806,0.8681838865032484
Jens Frost,Radikale Venstre,1.0333157614744335,0.8876067620084018
Esat Senturk,Radikale Venstre,0.2239395030447932,0.22924577896426968
Zohair Ali,Radikale Venstre,0.36952328744100393,0.32620004520355456
Trine Dybkjær,Radikale Venstre,0.4058815658552486,0.2609736767888946
Isabel Havndrup Aackmann,Radikale Venstre,1.1067743764912983,0.814135194610077
Tine Hessner,Radikale Venstre,1.4573127816554665,0.5142785252407194
Hediye Temiz,Radikale Venstre,1.683315126200997,0.8001004962289234
Christian Elkjær,Radikale Venstre,0.4696573467504314,0.4620221325424735
Mikkel Westh Jepsen,Radikale Venstre,1.3433684727713584,0.40980681485005577
Christina Thorholm,Radikale Venstre,0.4870194814427398,0.4821371808425746
Martin Lidegaard,Radikale Venstre,1.2846707935232828,0.8717724619718826
Lasse Skov Ovesen,Radikale Venstre,1.5630619825273746,0.4025139843714881
Anne Marie Geisler Andersen,Radikale Venstre,0.5274224523180442,0.8551027521010173
Finn Hartvig Nielsen,Radikale Venstre,1.343811155346841,1.1691959849465172
Nils Sjøberg,Radikale Venstre,0.6797373947745072,0.7998633685172286
Lotte Rod,Radikale Venstre,0.4616121260638042,0.865044014480284
Ole Lynggaard Jørgensen,Radikale Venstre,1.6524110434703654,0.6165213477288104
Line Krogh Lay,Radikale Venstre,1.0567820591677515,0.9121999822541815
Zenia Stampe,Radikale Venstre,1.2846707935232828,0.8717724619718826
Edris Qasimi,Radikale Venstre,0.9799816611684472,0.4594682145199611
Mette Hvid Brockmann,Radikale Venstre,1.0792177220936314,1.2753177908778914
Helena Tjørnelund Christensen,Radikale Venstre,0.7760376772050769,0.8436176152826349
Kristian Stokholm,Radikale Venstre,1.2082698196210626,0.12460045855079083
Sofie Holm,Radikale Venstre,1.2214412553328358,0.9204657360902267
Troels Brandt,Radikale Venstre,0.812867729236264,0.46154533424300065
Jeppe Fransson,Radikale Venstre,0.9163881048517071,0.7395099262256257
Jeppe Trolle,Radikale Venstre,1.5194856174245979,1.2910782534552532
Casper Hindkjær,Radikale Venstre,0.06735974826956609,0.657257198559025
Philip Vivet,Radikale Venstre,1.1534083227156453,0.44535161831325787
Johan Brødsgaard,Radikale Venstre,0.5233602445867092,0.4532340904381608
Peter Vestergaard,Radikale Venstre,1.2846707935232828,0.8717724619718826
Kim Pagels,Radikale Venstre,0.7563406873979213,0.08797468172651479
Mathias Fuglsang,Borgernes Parti - Lars Boje Mathiesen,-1.3068656218664545,-0.7303699613545276
Tim Larsen,Borgernes Parti - Lars Boje Mathiesen,-0.5315999486173049,-0.4897424538842637
Sanne Pilgaard,Borgernes Parti - Lars Boje Mathiesen,-0.4069216832257295,-0.47321317469829594
Jørn Dohrmann,Borgernes Parti - Lars Boje Mathiesen,-0.7340550484049857,-1.5084339664494328
Niels Christensen,Borgernes Parti - Lars Boje Mathiesen,-0.6803665239040786,-2.4527570630520836
Karsten Byrgesen,Borgernes Parti - Lars Boje Mathiesen,-0.8049123554414981,-0.7410150580313553
Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,-1.2540364237218355,-1.1852119500363723
Helge K. Frandsen,Borgernes Parti - Lars Boje Mathiesen,-1.9138862867649589,-1.0831598788110754
Nadja Natalie Isaksen,Borgernes Parti - Lars Boje Mathiesen,-1.259974687114438,-1.2378266395776514
Morten Dehn,Borgernes Parti - Lars Boje Mathiesen,-0.8493259561874328,-0.9117494105914743
Rikke Hansen,Borgernes Parti - Lars Boje Mathiesen,-1.139545692555613,-0.8761491126006213
Jacob Harris,Borgernes Parti - Lars Boje Mathiesen,-1.6404961046147293,-1.4762059584570468
Martin Nordstjerne,Borgernes Parti - Lars Boje Mathiesen,-0.8588602253083758,-1.6117080900921112
Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,-1.1281107820925034,-1.0846348008380566
Jes Halfdan,Borgernes Parti - Lars Boje Mathiesen,-0.9240617627431732,-0.8814671992884384
Peter Faber,Borgernes Parti - Lars Boje Mathiesen,-1.3158329439009373,-1.3872371033982116
Flemming Steenlykke,Borgernes Parti - Lars Boje Mathiesen,-0.9611160207451307,-0.9359132499862372
Allan Holm,Borgernes Parti - Lars Boje Mathiesen,0.03834929903255846,-1.3052579721705213
John Bjerg,Borgernes Parti - Lars Boje Mathiesen,-1.657774765919854,-1.7236684635971613
Victoria Velásquez,Enhedslisten – De Rød-Grønne,-1.2927735296795668,0.9543440363008733
Torsten Ringgaard,Enhedslisten – De Rød-Grønne,-0.6102846103189974,2.509179103333855
Reza Javid,Enhedslisten – De Rød-Grønne,-1.7410988854649387,1.428245515466159
Kaj Alstrup,Enhedslisten – De Rød-Grønne,-0.6244581792272582,1.3202853652168538
Jesper Kiel,Enhedslisten – De Rød-Grønne,-1.1530165843305078,1.1630802695208766
Vibeke Syppli Enrum,Enhedslisten – De Rød-Grønne,-0.28120455720144233,1.7122503004925935
Bianca Vitting,Enhedslisten – De Rød-Grønne,-0.8353391806477877,1.4197818769012032
Clara Turms,Enhedslisten – De Rød-Grønne,-0.6063440875052964,2.3242559534030613
Sune Rastad Bahn,Enhedslisten – De Rød-Grønne,-0.807119793661848,2.109989117554931
Ibrahim Benli,Enhedslisten – De Rød-Grønne,-0.4969017166169636,1.2582665544508487
Caroline Lochow,Enhedslisten – De Rød-Grønne,-0.9389557482567552,1.3952258058596938
Fatih Baran,Enhedslisten – De Rød-Grønne,-0.6787776407137375,1.7334463067949955
Emil Viskum,Enhedslisten – De Rød-Grønne,-0.491928658186558,1.5090887303066838
Helge Bo Jensen,Enhedslisten – De Rød-Grønne,-0.8119924412206246,1.7839677031500283
Runa Friis Hansen,Enhedslisten – De Rød-Grønne,-0.9657459452317182,1.3317526957231884
Hans Jensen,Enhedslisten – De Rød-Grønne,-0.9509413005084333,1.9679805241648605
Christina Eilers,Enhedslisten – De Rød-Grønne,-1.2050368763096728,1.9043396544087352
Berit Raldin,Enhedslisten – De Rød-Grønne,-0.9317938296789929,1.3948355239862
Ulrik Appel,Enhedslisten – De Rød-Grønne,-0.762554414309293,1.7486314717467077
Lasse Mejer Petersen,Enhedslisten – De Rød-Grønne,-0.8901278172029947,1.7073530858755976
Maria Sofie Petersen,Enhedslisten – De Rød-Grønne,-0.7363911522283526,1.7466311555283052
Charlotte Lund,Enhedslisten – De Rød-Grønne,-0.7494115047031636,1.4251434514782437
Reinout Bosch,Enhedslisten – De Rød-Grønne,-0.5011085392847417,1.6151415353344447
Leila Stockmarr,Enhedslisten – De Rød-Grønne,-0.9353492224537117,1.4957864380929753
Pelle Dragsted,Enhedslisten – De Rød-Grønne,-0.9487632053809576,0.9270298428853664
Pil Yildiz,Enhedslisten – De Rød-Grønne,-0.8386044558754175,0.9468508214020362
Kim Larsen,Enhedslisten – De Rød-Grønne,-0.2800581010261358,0.6007613581485233
David Rønne,Enhedslisten – De Rød-Grønne,-1.0772020104543212,2.125040861780861
Mette Bloch Hansen,Enhedslisten – De Rød-Grønne,-0.7520710616707856,0.9450968506026838
Mathilde Vinther,Enhedslisten – De Rød-Grønne,-0.9236590338499545,1.2491472059393467
Pil Christensen,Enhedslisten – De Rød-Grønne,-0.8768457234226454,0.9329337916627084
Rosa Lund,Enhedslisten – De Rød-Grønne,-1.529193538055599,1.5436742920056306
Peder Hvelplund,Enhedslisten – De Rød-Grønne,-0.9723196072062859,1.617985460746103
Lasse Olsen,Enhedslisten – De Rød-Grønne,-0.8495990971840537,1.6004887262165814
Filippa Emilie Vittrup,Enhedslisten – De Rød-Grønne,-0.9123079782747787,1.4856432872896825
Christoffer Emil Jexen,Enhedslisten – De Rød-Grønne,-0.4311358739862688,0.9305006338582101
Annie Hagel,Enhedslisten – De Rød-Grønne,0.0228398972595365,1.0594722860024572
Sinem Dybvad Demir,Enhedslisten – De Rød-Grønne,-0.873347426521,1.4027414377236291
Carolina Cámara,Enhedslisten – De Rød-Grønne,-0.7297371526196902,1.065432139968808
Emil Andersen,Enhedslisten – De Rød-Grønne,-0.1763790458180458,0.45257415996390277
Ludmila Plenge,Enhedslisten – De Rød-Grønne,-0.5983920378263441,1.3589918052412693
Bruno Jerup,Enhedslisten – De Rød-Grønne,-0.7729780427221903,1.5281549453093213
Peter Roswall,Enhedslisten – De Rød-Grønne,-1.1027768546298395,1.4643015188756408
Louis Jacobsen,Enhedslisten – De Rød-Grønne,-1.6041977919402504,1.078523521024188
Birgit Gedionsen,Enhedslisten – De Rød-Grønne,0.6939921844960197,1.3705726199847617
Jonas Paludan,Enhedslisten – De Rød-Grønne,-0.6733138329548347,1.01653327072148
Eva Flyvholm,Enhedslisten – De Rød-Grønne,-0.9307709609895832,0.9391372387343975
Helena Hedegaard Udsen,Enhedslisten – De Rød-Grønne,-0.4585126150732887,1.4812727694221886
Johanna-Maria Precht,Enhedslisten – De Rød-Grønne,-0.8782906329953951,0.9296679721672112
Helene Hellesøe Appel,Enhedslisten – De Rød-Grønne,-0.5591281027661119,1.554612420702231
Selma Bolø,Enhedslisten – De Rød-Grønne,-0.8895368381735999,0.8662607034666263
Lasse Harder Schousboe,Enhedslisten – De Rød-Grønne,-0.9623640937240698,1.5203818572652235
Lars Mogensen,Enhedslisten – De Rød-Grønne,-1.6750953115158835,1.611610472643913
Rasmus Vestergaard Madsen,Enhedslisten – De Rød-Grønne,-1.4689292793106807,1.6148114939903306
Lilje Holm,Enhedslisten – De Rød-Grønne,-0.4326610334628521,1.2904861148364155
